stats_g/mean,epoch,train/success_rate,test/success_rate,stats_g/std,test/mean_Q,train/mean_Q,stats_o/mean,stats_o/std,test/episode,train/episode
0.8990732,0,0.05,0.1,0.18155248,-0.32320532,-0.8180418,0.25899312,0.028182989,20.0,20.0
0.882703,1,0.3,0.1,0.14246602,-0.6476439,-0.96394503,0.25925058,0.027132839,40.0,40.0
0.8750708,2,0.55,0.55,0.12732443,-0.78812253,-1.0819649,0.25910696,0.026958585,60.0,60.0
0.87899584,3,0.65,0.85,0.11802735,-1.0148777,-1.2539876,0.26071692,0.027198736,80.0,80.0
0.87439704,4,0.65,0.8,0.11494693,-1.1229067,-1.3771436,0.2605548,0.02722979,100.0,100.0
0.87414986,5,0.75,0.85,0.11375496,-1.0247267,-1.0307524,0.26088175,0.027550885,120.0,120.0
0.87273604,6,0.85,0.9,0.11383599,-0.86529434,-0.798152,0.2604025,0.027664974,140.0,140.0
0.8757462,7,0.85,1.0,0.11343697,-0.6848187,-0.8373431,0.26116788,0.027812466,160.0,160.0
0.87587816,8,0.85,0.95,0.11326772,-0.5957192,-0.8431629,0.26073778,0.027949229,180.0,180.0
0.87482136,9,0.65,0.95,0.11320317,-0.7703245,-0.72427213,0.26082984,0.028327167,200.0,200.0
0.87443304,10,1.0,1.0,0.11435481,-0.4828333,-0.5239892,0.26088637,0.028613105,220.0,220.0
0.8752808,11,0.95,1.0,0.1168018,-0.36621723,-0.411938,0.26075715,0.028837824,240.0,240.0
0.87393683,12,0.85,1.0,0.11735452,-0.41550487,-0.49526685,0.26096386,0.0290699,260.0,260.0
0.87672377,13,0.8,1.0,0.11854067,-0.36919248,-0.46555156,0.26103982,0.02918683,280.0,280.0
0.87786,14,0.85,1.0,0.12160245,-0.3026761,-0.38479456,0.26133662,0.02932169,300.0,300.0
0.8786797,15,0.85,1.0,0.12015253,-0.39159173,-0.45724598,0.2616028,0.029439654,320.0,320.0
0.8765134,16,0.55,1.0,0.12036487,-0.2733366,-0.34075576,0.26159686,0.029583734,340.0,340.0
0.8717828,17,0.8,1.0,0.12403657,-0.2579817,-0.3548974,0.261413,0.029584426,360.0,360.0
0.8672008,18,0.85,0.95,0.12781718,-0.25262573,-0.36988574,0.26126075,0.02959514,380.0,380.0
0.86230177,19,0.8,1.0,0.13113825,-0.36174345,-0.463636,0.26142251,0.02973323,400.0,400.0
0.864213,20,0.85,1.0,0.1330514,-0.27468997,-0.36729422,0.26152763,0.029800767,420.0,420.0
0.8587174,21,0.9,0.7,0.15143593,-0.22776818,-0.39718935,0.26157004,0.02991421,440.0,440.0
0.8622577,22,0.75,0.75,0.15525632,-0.19461133,-0.3475193,0.26177713,0.029898917,460.0,460.0
0.86768764,23,0.9,0.55,0.16041939,-0.18418823,-0.2763304,0.26188365,0.029898968,480.0,480.0
0.8686328,24,0.65,0.9,0.16011077,-0.15100405,-0.2784309,0.2618739,0.02988919,500.0,500.0
0.8686529,25,0.9,1.0,0.15802608,-0.14166321,-0.2536553,0.2618114,0.029924894,520.0,520.0
0.8684775,26,0.9,1.0,0.1556587,-0.14794722,-0.239784,0.26174456,0.029877748,540.0,540.0
0.8676259,27,0.55,1.0,0.15557791,-0.19272912,-0.3227877,0.26190618,0.029881705,560.0,560.0
0.862844,28,0.8,1.0,0.15998507,-0.073340476,-0.18552957,0.26179603,0.029848343,580.0,580.0
0.862937,29,0.65,1.0,0.15784296,-0.13275263,-0.21520372,0.26167274,0.029857934,600.0,600.0
0.86319536,30,0.7,1.0,0.15571576,-0.124185465,-0.21517472,0.26169226,0.029817438,620.0,620.0
0.8656586,31,0.7,0.9,0.1595267,-0.18188322,-0.31019458,0.26179156,0.029912313,640.0,640.0
0.8730175,32,0.75,0.5,0.17369826,-0.14228335,-0.24764755,0.26184553,0.029955149,660.0,660.0
0.8707647,33,0.8,0.8,0.1778034,-0.15155663,-0.2846131,0.26183712,0.030018475,680.0,680.0
0.8671921,34,0.8,1.0,0.1809343,-0.1352883,-0.22813329,0.26183045,0.030027539,700.0,700.0
0.8661794,35,0.7,1.0,0.17989545,-0.12213974,-0.23862672,0.26186702,0.030009711,720.0,720.0
0.8663347,36,0.85,1.0,0.17789698,-0.09168867,-0.1656951,0.2618619,0.029999178,740.0,740.0
0.8659906,37,0.9,1.0,0.17618375,-0.089878164,-0.17430867,0.2616706,0.030064976,760.0,760.0
0.87061185,38,0.65,0.65,0.18890512,-0.10136561,-0.2163771,0.26162353,0.030092722,780.0,780.0
0.8685457,39,0.75,0.8,0.19312756,-0.10321865,-0.23101835,0.2617434,0.030118674,800.0,800.0
0.86484045,40,0.8,0.95,0.19413249,-0.07987032,-0.15447728,0.2617349,0.030134538,820.0,820.0
0.86150247,41,0.8,0.95,0.19494045,-0.111844525,-0.22058153,0.26177257,0.030135572,840.0,840.0
0.85789245,42,0.8,1.0,0.19573845,-0.104471385,-0.21245542,0.26173696,0.030139115,860.0,860.0
0.8546627,43,0.8,1.0,0.19648318,-0.14221783,-0.23793332,0.2618462,0.030173931,880.0,880.0
0.85180354,44,0.8,1.0,0.19688182,-0.14177638,-0.22253725,0.2619757,0.030191043,900.0,900.0
0.8486158,45,0.8,1.0,0.19719416,-0.12727383,-0.1945151,0.26197916,0.030165616,920.0,920.0
0.8456776,46,0.9,1.0,0.19751918,-0.2096916,-0.3069275,0.26204067,0.030217659,940.0,940.0
0.843232,47,0.9,1.0,0.19769864,-0.18998976,-0.26091182,0.2621684,0.030267805,960.0,960.0
0.8405048,48,0.85,1.0,0.19784246,-0.21394083,-0.2751313,0.26223856,0.030304244,980.0,980.0
0.8379163,49,0.6,1.0,0.19783302,-0.14265959,-0.18660165,0.26229793,0.03028875,1000.0,1000.0
