test/episode,stats_g/mean,test/success_rate,train/mean_Q,stats_g/std,test/mean_Q,train/success_rate,stats_o/mean,train/episode,stats_o/std,epoch
20.0,0.8692474,0.25,-0.81713974,0.07023961,-0.4262058,0.25,0.25923437,20.0,0.033599928,0
40.0,0.8691485,0.85,-0.9362503,0.062835924,-0.61387384,0.7,0.25957924,40.0,0.029823348,1
60.0,0.8694623,0.7,-0.93938065,0.061482083,-0.8489712,0.8,0.25968736,60.0,0.029279733,2
80.0,0.872073,0.8,-1.0343134,0.061065167,-0.8102268,0.85,0.26086637,80.0,0.029169027,3
100.0,0.8728571,0.95,-0.84593266,0.06178208,-0.68822956,0.85,0.26123005,100.0,0.029381227,4
120.0,0.8735532,0.95,-0.57816,0.062365983,-0.61012506,0.65,0.26160902,120.0,0.029558674,5
140.0,0.8724913,1.0,-0.36904126,0.06329615,-0.31530342,0.85,0.26132774,140.0,0.029696804,6
160.0,0.8740942,0.95,-0.32529503,0.063757576,-0.3964005,0.85,0.26197156,160.0,0.029820472,7
180.0,0.8734417,1.0,-0.31096047,0.06451168,-0.22525859,0.8,0.26182538,180.0,0.029960748,8
200.0,0.87367266,1.0,-0.32183838,0.06524259,-0.22618382,0.55,0.26192963,200.0,0.030106584,9
220.0,0.8738739,1.0,-0.27040917,0.06551952,-0.20008223,0.9,0.2620179,220.0,0.030097673,10
240.0,0.87368536,1.0,-0.22074708,0.06597426,-0.16011088,0.85,0.26193333,240.0,0.030219484,11
260.0,0.8742383,1.0,-0.25923166,0.066587724,-0.17537388,0.8,0.26215956,260.0,0.030410236,12
280.0,0.87444085,1.0,-0.24619034,0.06676447,-0.15542373,0.65,0.26229456,280.0,0.030420884,13
300.0,0.8751621,1.0,-0.20812026,0.066976406,-0.14436276,0.7,0.26261508,300.0,0.030469423,14
320.0,0.87572813,1.0,-0.23513332,0.06721264,-0.16037391,0.8,0.2628433,320.0,0.030555114,15
340.0,0.8757059,1.0,-0.21186638,0.067553036,-0.12602754,0.65,0.26285613,340.0,0.030621756,16
360.0,0.8751847,1.0,-0.18573743,0.06744796,-0.09812625,0.85,0.26272142,360.0,0.030561429,17
380.0,0.8747547,1.0,-0.21458638,0.06748717,-0.09760094,0.7,0.262542,380.0,0.030572671,18
400.0,0.8751738,1.0,-0.23854072,0.06800689,-0.12891889,0.75,0.26269308,400.0,0.030745571,19
420.0,0.875264,1.0,-0.1625871,0.06824037,-0.09523167,0.75,0.26276416,420.0,0.030792173,20
440.0,0.87543124,1.0,-0.22072344,0.068528615,-0.10589488,0.95,0.26279128,440.0,0.030885626,21
460.0,0.875964,1.0,-0.15936336,0.06848484,-0.06160741,0.6,0.2630089,460.0,0.030859286,22
480.0,0.8761901,1.0,-0.11867869,0.068522476,-0.05449156,0.8,0.26310915,480.0,0.030840922,23
500.0,0.87606645,1.0,-0.12889928,0.06855422,-0.04137511,0.75,0.2630975,500.0,0.030814314,24
520.0,0.87585884,1.0,-0.15277809,0.06862715,-0.047162067,0.9,0.26304933,520.0,0.030837893,25
540.0,0.8757016,1.0,-0.10486414,0.06845352,-0.026471118,0.8,0.26297024,540.0,0.030756902,26
560.0,0.87613934,1.0,-0.16925734,0.06839887,-0.03983569,0.55,0.26315114,560.0,0.030748311,27
580.0,0.87579155,1.0,-0.1021449,0.068303384,-0.025246656,0.55,0.2630286,580.0,0.030731332,28
600.0,0.8754323,1.0,-0.13299029,0.0682761,-0.05018251,0.45,0.26289496,600.0,0.030706257,29
620.0,0.87542844,1.0,-0.119770065,0.06811071,-0.032116193,0.85,0.26290357,620.0,0.030635258,30
640.0,0.8756771,1.0,-0.15742657,0.068300985,-0.050454605,0.75,0.2629804,640.0,0.030710459,31
660.0,0.87581253,1.0,-0.102495804,0.06836244,-0.049760085,0.75,0.26304075,660.0,0.030756827,32
680.0,0.8757481,1.0,-0.13702317,0.0685023,-0.04862549,0.9,0.26302093,680.0,0.030815084,33
700.0,0.87567955,1.0,-0.11500194,0.06844776,-0.038240958,0.65,0.26299685,700.0,0.030809823,34
720.0,0.87576675,1.0,-0.11652037,0.06831375,-0.03492775,0.7,0.2630338,720.0,0.03077133,35
740.0,0.8757753,1.0,-0.11327851,0.06817797,-0.029727686,0.85,0.26302692,740.0,0.030742327,36
760.0,0.87534446,1.0,-0.13203625,0.06823965,-0.047241658,0.85,0.26283684,760.0,0.030786157,37
780.0,0.8751944,1.0,-0.14393595,0.06829778,-0.050924283,0.65,0.26276165,780.0,0.030806363,38
800.0,0.87550545,1.0,-0.13658623,0.06838154,-0.046320986,0.7,0.26287073,800.0,0.03083072,39
820.0,0.8754515,1.0,-0.10765989,0.06838819,-0.04628206,0.85,0.2628559,820.0,0.03081734,40
840.0,0.87551564,1.0,-0.12820567,0.068392724,-0.050151575,0.7,0.262879,840.0,0.03081354,41
860.0,0.87535673,1.0,-0.14663911,0.06836587,-0.050163884,0.7,0.26282582,860.0,0.030800875,42
880.0,0.8755493,1.0,-0.12155559,0.068411656,-0.048083626,0.75,0.26291052,880.0,0.030817857,43
900.0,0.87582093,1.0,-0.128024,0.06840712,-0.043944813,0.65,0.26303324,900.0,0.030823499,44
920.0,0.8758156,1.0,-0.11406682,0.06831566,-0.048449524,0.75,0.26301992,920.0,0.030779684,45
940.0,0.87589926,1.0,-0.13918519,0.06841933,-0.061240423,0.85,0.26307017,940.0,0.03081863,46
960.0,0.8761778,1.0,-0.13188614,0.0685225,-0.051742792,0.85,0.26317015,960.0,0.030845106,47
980.0,0.8762958,1.0,-0.12353344,0.06860885,-0.054617245,0.85,0.2632116,980.0,0.030868065,48
1000.0,0.87640285,1.0,-0.10258722,0.06851294,-0.0392495,0.6,0.26325434,1000.0,0.030846095,49
