train/mean_Q,stats_o/std,stats_o/mean,stats_g/std,test/success_rate,epoch,train/episode,stats_g/mean,train/success_rate,test/episode,test/mean_Q
-1.604883,0.06283431,0.20296642,0.09885976,0.0,0,100.0,0.8374043,0.04,20.0,-2.7347436
-3.3836684,0.05657286,0.20313004,0.093663745,0.1,1,200.0,0.8407669,0.06,40.0,-4.438831
-5.5933213,0.05297559,0.20334005,0.092391394,0.05,2,300.0,0.84151834,0.04,60.0,-5.335828
-7.0702534,0.05291529,0.20394589,0.09159271,0.0,3,400.0,0.84358174,0.07,80.0,-8.015811
-8.823021,0.054520577,0.2046154,0.09039416,0.05,4,500.0,0.84517336,0.02,100.0,-9.977875
-10.04671,0.056586843,0.2045573,0.08994215,0.0,5,600.0,0.8449259,0.05,120.0,-11.803656
-12.113926,0.058111977,0.20401272,0.091543704,0.05,6,700.0,0.84393024,0.02,140.0,-12.837524
-12.738772,0.061414782,0.20392436,0.09228835,0.1,7,800.0,0.8436587,0.05,160.0,-13.273723
-14.540161,0.064717926,0.20408964,0.093061656,0.1,8,900.0,0.8436374,0.01,180.0,-12.128767
-15.782441,0.06474779,0.20412757,0.09317148,0.05,9,1000.0,0.8434083,0.05,200.0,-14.537982
-17.177443,0.06532476,0.20429906,0.09312699,0.0,10,1100.0,0.8438685,0.03,220.0,-18.646038
-17.96914,0.06615022,0.20425005,0.093177795,0.0,11,1200.0,0.84331876,0.01,240.0,-20.872082
-18.48445,0.06720565,0.20419115,0.09288152,0.0,12,1300.0,0.84342647,0.04,260.0,-20.390629
-20.707905,0.06696048,0.20404716,0.09269315,0.05,13,1400.0,0.8435409,0.03,280.0,-19.78294
-19.598,0.067637734,0.20411739,0.092899345,0.15,14,1500.0,0.8437461,0.03,300.0,-18.693493
-21.229338,0.067379184,0.20396629,0.0930564,0.1,15,1600.0,0.84325725,0.05,320.0,-21.386463
-21.696156,0.06840637,0.20395626,0.09415639,0.1,16,1700.0,0.8433051,0.04,340.0,-19.12295
-22.461897,0.06863033,0.2039609,0.09399273,0.0,17,1800.0,0.8430919,0.02,360.0,-22.497995
-23.240852,0.069275886,0.20385653,0.09407427,0.05,18,1900.0,0.84281,0.0,380.0,-23.72405
-23.30694,0.06984462,0.20380613,0.09458635,0.2,19,2000.0,0.8424477,0.03,400.0,-21.614105
-22.833467,0.070083044,0.20373747,0.09483564,0.05,20,2100.0,0.8424456,0.06,420.0,-22.095556
-24.656252,0.07104376,0.2037981,0.09485348,0.0,21,2200.0,0.8427295,0.05,440.0,-25.329046
-24.464285,0.071134,0.20374611,0.09472545,0.05,22,2300.0,0.84267265,0.04,460.0,-22.698256
-24.480434,0.07152006,0.20362289,0.09466696,0.0,23,2400.0,0.84266454,0.04,480.0,-25.365772
-23.308867,0.07177989,0.20359926,0.094929375,0.0,24,2500.0,0.8423926,0.03,500.0,-24.333902
-23.629993,0.07273063,0.20362169,0.09544355,0.05,25,2600.0,0.842392,0.06,520.0,-25.052662
-22.160965,0.07306847,0.20370764,0.09502781,0.0,26,2700.0,0.84277654,0.08,540.0,-21.787512
-24.431852,0.07331258,0.20370504,0.09471653,0.05,27,2800.0,0.84285855,0.05,560.0,-23.972597
-25.293943,0.07365869,0.2037089,0.095012546,0.1,28,2900.0,0.84275275,0.03,580.0,-25.053545
-25.482351,0.07432465,0.2037288,0.09542396,0.05,29,3000.0,0.8427527,0.02,600.0,-23.143549
-24.714775,0.074862964,0.20373912,0.09590393,0.05,30,3100.0,0.8428476,0.05,620.0,-31.239056
-23.88441,0.07581313,0.20360468,0.095861204,0.05,31,3200.0,0.8424928,0.06,640.0,-27.015982
-24.040058,0.07632813,0.20354974,0.09566277,0.1,32,3300.0,0.8424396,0.07,660.0,-20.904495
-23.787842,0.07717875,0.20361221,0.09558164,0.15,33,3400.0,0.8425944,0.08,680.0,-24.365839
-24.959457,0.07803686,0.20365506,0.09569951,0.05,34,3500.0,0.8426156,0.05,700.0,-25.011927
-22.840582,0.078617014,0.20375407,0.09580932,0.1,35,3600.0,0.84262794,0.07,720.0,-25.613205
-23.93054,0.079333246,0.20383093,0.096161224,0.05,36,3700.0,0.84273297,0.1,740.0,-25.243853
-23.60554,0.07972408,0.20389241,0.09595934,0.15,37,3800.0,0.84270066,0.03,760.0,-22.353815
-21.440315,0.08061436,0.20395243,0.09570938,0.05,38,3900.0,0.84270495,0.09,780.0,-23.663513
-23.319801,0.08075173,0.20400237,0.095579565,0.1,39,4000.0,0.8425644,0.04,800.0,-21.337076
-23.307514,0.0810836,0.20401874,0.09538414,0.05,40,4100.0,0.8426654,0.07,820.0,-20.796892
-24.279043,0.08192602,0.20405084,0.09530547,0.1,41,4200.0,0.84270686,0.06,840.0,-18.777557
-23.293537,0.082880184,0.20404239,0.09565372,0.05,42,4300.0,0.8426092,0.07,860.0,-23.732533
-24.020714,0.08346963,0.20400131,0.09637231,0.0,43,4400.0,0.8425267,0.07,880.0,-22.126114
-22.628506,0.084538266,0.20398004,0.09652386,0.05,44,4500.0,0.8424831,0.1,900.0,-25.933163
-21.890139,0.085580796,0.20387253,0.09676388,0.2,45,4600.0,0.8425093,0.11,920.0,-22.924656
-23.416105,0.086298496,0.20391472,0.096910216,0.05,46,4700.0,0.842464,0.06,940.0,-23.363384
-22.698252,0.08695092,0.20393814,0.09723381,0.05,47,4800.0,0.8423646,0.06,960.0,-18.59975
-20.976206,0.08781106,0.20394169,0.09728379,0.05,48,4900.0,0.84242964,0.12,980.0,-20.829771
-23.92224,0.08880991,0.20391409,0.0976004,0.0,49,5000.0,0.8423872,0.09,1000.0,-30.202785
