stats_o/mean,train/mean_Q,stats_g/mean,test/success_rate,train/episode,stats_o/std,train/success_rate,epoch,test/mean_Q,stats_g/std,test/episode
0.18018168,-2.008948,0.74304104,0.0,100.0,0.058265943,0.0,0,-3.1209848,0.11508543,20.0
0.17806682,-4.0237226,0.7430141,0.0,200.0,0.057039957,0.0,1,-5.006437,0.11804274,40.0
0.17935562,-5.979326,0.7451291,0.0,300.0,0.054986402,0.01,2,-6.9398537,0.11609367,60.0
0.1787401,-8.046534,0.7446845,0.0,400.0,0.054484557,0.0,3,-9.150103,0.1164019,80.0
0.17966466,-9.604206,0.74689245,0.0,500.0,0.054367743,0.02,4,-10.752204,0.11593301,100.0
0.17901988,-11.691536,0.74587864,0.0,600.0,0.054171648,0.0,5,-12.177869,0.11686653,120.0
0.17902513,-12.949246,0.74595904,0.0,700.0,0.053894214,0.03,6,-13.934428,0.11723021,140.0
0.17898117,-14.768521,0.7468412,0.0,800.0,0.054364845,0.0,7,-14.987917,0.11927671,160.0
0.17860053,-16.639284,0.7459238,0.1,900.0,0.055830274,0.0,8,-15.404531,0.12329153,180.0
0.1787189,-17.063667,0.74545366,0.0,1000.0,0.056968413,0.02,9,-19.133373,0.12538595,200.0
0.1784867,-18.581108,0.7445257,0.0,1100.0,0.060527515,0.0,10,-19.728348,0.12912512,220.0
0.17869125,-19.879972,0.7446912,0.05,1200.0,0.061732203,0.0,11,-18.290537,0.13306002,240.0
0.17898458,-19.616932,0.7457304,0.0,1300.0,0.0647062,0.01,12,-21.182705,0.13690567,260.0
0.17950033,-19.827696,0.74677926,0.0,1400.0,0.067014866,0.01,13,-20.30238,0.14127265,280.0
0.17966875,-21.788298,0.74736005,0.0,1500.0,0.06889307,0.02,14,-19.434456,0.1438484,300.0
0.18013693,-20.54324,0.7491459,0.0,1600.0,0.06948788,0.04,15,-21.269783,0.14508331,320.0
0.18047953,-22.275051,0.7511527,0.1,1700.0,0.07146273,0.01,16,-16.725508,0.14776857,340.0
0.18087156,-21.106129,0.75310445,0.0,1800.0,0.07304989,0.04,17,-24.602703,0.14876539,360.0
0.18121324,-22.76866,0.7540181,0.05,1900.0,0.074247114,0.01,18,-20.95972,0.15024887,380.0
0.18138559,-21.381376,0.75491834,0.1,2000.0,0.07482315,0.03,19,-19.536665,0.15087219,400.0
0.18146876,-22.426159,0.75599146,0.15,2100.0,0.07637217,0.05,20,-18.848846,0.15159823,420.0
0.1817212,-22.792988,0.7572947,0.0,2200.0,0.07829936,0.04,21,-23.156872,0.15324192,440.0
0.18200758,-22.19803,0.75867605,0.05,2300.0,0.08005012,0.06,22,-18.612936,0.15568851,460.0
0.18215841,-21.88631,0.7586863,0.2,2400.0,0.082144044,0.07,23,-17.36282,0.15773888,480.0
0.18251495,-22.032879,0.7600967,0.2,2500.0,0.08386451,0.08,24,-17.842268,0.16032805,500.0
0.18264621,-22.870693,0.76080924,0.0,2600.0,0.08472202,0.04,25,-19.193216,0.16135024,520.0
0.18289353,-21.800867,0.76205117,0.35,2700.0,0.08522262,0.07,26,-13.917415,0.16182925,540.0
0.18308951,-22.216875,0.7636644,0.2,2800.0,0.08553342,0.07,27,-16.294338,0.16252683,560.0
0.18339741,-21.581097,0.76554245,0.15,2900.0,0.0861154,0.07,28,-18.308725,0.16267115,580.0
0.18381937,-21.834402,0.76736236,0.1,3000.0,0.08664088,0.07,29,-19.406342,0.1632579,600.0
0.18413943,-20.607222,0.7691574,0.1,3100.0,0.08673553,0.1,30,-17.120005,0.1629653,620.0
0.18438442,-18.288332,0.7705851,0.05,3200.0,0.08659626,0.12,31,-13.9683895,0.16249321,640.0
0.18454687,-20.273561,0.7718301,0.2,3300.0,0.08642342,0.08,32,-14.730115,0.16200417,660.0
0.18479237,-20.78227,0.7730624,0.2,3400.0,0.086695254,0.07,33,-15.983075,0.16211341,680.0
0.18504523,-20.754665,0.7741916,0.15,3500.0,0.086452685,0.09,34,-16.572199,0.16179378,700.0
0.18530908,-20.089764,0.7754094,0.2,3600.0,0.0864511,0.11,35,-16.967411,0.16170238,720.0
0.18539223,-20.607903,0.77662843,0.2,3700.0,0.08644299,0.09,36,-15.13563,0.16139342,740.0
0.18561596,-22.20103,0.7774939,0.25,3800.0,0.08663985,0.08,37,-14.65287,0.16187052,760.0
0.18574052,-21.502626,0.77843887,0.3,3900.0,0.08662757,0.1,38,-13.721792,0.16153662,780.0
0.18580061,-20.380417,0.77905935,0.2,4000.0,0.08682603,0.17,39,-18.230055,0.1611746,800.0
0.18596086,-22.25816,0.77994746,0.3,4100.0,0.087017916,0.08,40,-18.231598,0.16094753,820.0
0.18614328,-22.871975,0.78100556,0.3,4200.0,0.086974666,0.07,41,-14.807703,0.16096471,840.0
0.18629117,-22.699986,0.78203565,0.25,4300.0,0.08742948,0.13,42,-17.91981,0.1611871,860.0
0.18637222,-23.142263,0.7828525,0.25,4400.0,0.08749482,0.08,43,-18.564566,0.16109198,880.0
0.18659735,-23.845406,0.78374714,0.2,4500.0,0.08756998,0.1,44,-17.082195,0.16096036,900.0
0.18681255,-22.341948,0.7844601,0.4,4600.0,0.08769641,0.16,45,-17.435596,0.16077937,920.0
0.1869299,-22.17914,0.7850304,0.25,4700.0,0.087596804,0.11,46,-17.783525,0.1605302,940.0
0.18710163,-23.812965,0.78584415,0.35,4800.0,0.08765626,0.13,47,-15.779037,0.16082717,960.0
0.18734579,-22.57644,0.78667456,0.4,4900.0,0.087617256,0.18,48,-13.422707,0.16054901,980.0
0.18756622,-22.454258,0.78759915,0.5,5000.0,0.087634735,0.19,49,-14.99716,0.16049351,1000.0
0.18781322,-24.60996,0.78831863,0.25,5100.0,0.088132165,0.08,50,-16.726582,0.1607546,1020.0
0.18798801,-22.827896,0.78903955,0.4,5200.0,0.08811634,0.12,51,-17.613794,0.16060127,1040.0
0.18813919,-21.767227,0.7895322,0.35,5300.0,0.0881945,0.17,52,-16.066938,0.16069739,1060.0
0.18817025,-22.964655,0.7901638,0.35,5400.0,0.0882285,0.12,53,-14.759117,0.1605571,1080.0
0.18829747,-22.208572,0.7907173,0.3,5500.0,0.08808529,0.12,54,-16.741488,0.16017,1100.0
0.18829904,-22.646893,0.79101115,0.35,5600.0,0.08795192,0.09,55,-18.196287,0.16003758,1120.0
0.18838018,-22.920862,0.79143006,0.2,5700.0,0.087946184,0.11,56,-20.482655,0.15979917,1140.0
0.18845668,-25.410206,0.79183096,0.2,5800.0,0.08799758,0.14,57,-21.209946,0.16003089,1160.0
0.18849203,-23.515797,0.7920274,0.4,5900.0,0.08812032,0.12,58,-15.334638,0.16000706,1180.0
0.18859932,-20.620964,0.79224664,0.3,6000.0,0.08804553,0.24,59,-18.625904,0.15963402,1200.0
0.18867813,-24.897228,0.7928347,0.45,6100.0,0.08801461,0.09,60,-17.569973,0.15941425,1220.0
0.18873806,-24.985415,0.7932742,0.2,6200.0,0.08814839,0.1,61,-19.539762,0.15930685,1240.0
0.1888399,-24.839914,0.79369116,0.4,6300.0,0.08809011,0.11,62,-18.293839,0.15909357,1260.0
0.18889327,-23.130974,0.79396963,0.3,6400.0,0.0881786,0.18,63,-18.431242,0.1591268,1280.0
0.18895842,-23.81659,0.7945683,0.4,6500.0,0.08821228,0.17,64,-15.058591,0.15893528,1300.0
0.1890472,-23.110664,0.7950487,0.35,6600.0,0.08835977,0.16,65,-16.890501,0.15878123,1320.0
0.18910238,-23.837387,0.79539603,0.4,6700.0,0.0883812,0.17,66,-18.351227,0.15865201,1340.0
0.18918744,-21.945917,0.7956875,0.6,6800.0,0.08831822,0.19,67,-14.01324,0.15818296,1360.0
0.18924439,-22.947678,0.795911,0.5,6900.0,0.08835613,0.13,68,-14.153097,0.15804823,1380.0
0.18934709,-22.61399,0.796238,0.4,7000.0,0.088389665,0.19,69,-13.643938,0.15790772,1400.0
0.18942621,-22.33474,0.79638815,0.35,7100.0,0.08833535,0.18,70,-17.7178,0.15770163,1420.0
0.18949685,-24.376282,0.79675466,0.25,7200.0,0.0883487,0.15,71,-20.150724,0.15750687,1440.0
0.18958752,-22.861616,0.7970865,0.35,7300.0,0.08852725,0.16,72,-18.072247,0.15748064,1460.0
0.18968792,-23.683342,0.79734,0.3,7400.0,0.08863555,0.12,73,-15.127127,0.157278,1480.0
0.18978855,-22.219799,0.7976803,0.45,7500.0,0.08866844,0.18,74,-12.470144,0.1570145,1500.0
0.18982038,-21.909369,0.7978104,0.5,7600.0,0.0887391,0.17,75,-14.562189,0.1568407,1520.0
0.1898818,-22.686918,0.7980967,0.3,7700.0,0.08881294,0.14,76,-13.259295,0.15672459,1540.0
0.18994457,-21.63253,0.79833484,0.4,7800.0,0.08892867,0.18,77,-13.792743,0.15666457,1560.0
